GEOID,B13016_001E,B13016_002E,B13016_003E,B13016_004E,B13016_005E,B13016_006E,B13016_007E,B13016_008E,B13016_009E,B13016_010E,B13016_011E,B13016_012E,B13016_013E,B13016_014E,B13016_015E,B13016_016E,B13016_017E
37001020100,980.0,125.0,0.0,0.0,45.0,65.0,15.0,0.0,0.0,855.0,82.0,99.0,162.0,122.0,122.0,125.0,143.0
37001020200,1196.0,164.0,0.0,18.0,133.0,13.0,0.0,0.0,0.0,1032.0,227.0,65.0,74.0,119.0,187.0,85.0,275.0
37001020301,661.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,627.0,64.0,23.0,48.0,111.0,87.0,215.0,79.0
37001020302,735.0,63.0,0.0,20.0,0.0,0.0,43.0,0.0,0.0,672.0,96.0,162.0,33.0,6.0,148.0,159.0,68.0
37001020400,1605.0,56.0,0.0,33.0,0.0,23.0,0.0,0.0,0.0,1549.0,139.0,152.0,232.0,258.0,71.0,239.0,458.0
37001020501,881.0,54.0,0.0,24.0,17.0,13.0,0.0,0.0,0.0,827.0,160.0,181.0,125.0,58.0,93.0,42.0,168.0
37001020502,1181.0,64.0,0.0,9.0,29.0,26.0,0.0,0.0,0.0,1117.0,174.0,91.0,308.0,91.0,227.0,81.0,145.0
37001020601,578.0,25.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,553.0,38.0,55.0,64.0,79.0,98.0,91.0,128.0
37001020602,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,12.0,9.0,22.0,68.0,112.0,122.0,72.0
37001020701,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.0,116.0,159.0,292.0,118.0,121.0,134.0,449.0
37001020702,1318.0,27.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1291.0,148.0,165.0,156.0,209.0,196.0,183.0,234.0
37001020801,418.0,39.0,0.0,10.0,25.0,0.0,0.0,4.0,0.0,379.0,44.0,35.0,107.0,71.0,53.0,50.0,19.0
37001020802,1437.0,53.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,1384.0,167.0,212.0,146.0,283.0,101.0,72.0,403.0
37001020901,650.0,35.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,615.0,32.0,78.0,142.0,42.0,215.0,10.0,96.0
37001020902,1043.0,44.0,0.0,0.0,9.0,10.0,25.0,0.0,0.0,999.0,286.0,44.0,51.0,214.0,93.0,46.0,265.0
37001021000,1184.0,73.0,0.0,23.0,0.0,40.0,0.0,10.0,0.0,1111.0,134.0,282.0,231.0,147.0,73.0,75.0,169.0
37001021101,718.0,53.0,22.0,0.0,14.0,17.0,0.0,0.0,0.0,665.0,42.0,60.0,109.0,71.0,151.0,62.0,170.0
37001021102,890.0,122.0,31.0,44.0,0.0,47.0,0.0,0.0,0.0,768.0,117.0,100.0,127.0,97.0,150.0,93.0,84.0
37001021201,1556.0,42.0,23.0,0.0,11.0,8.0,0.0,0.0,0.0,1514.0,322.0,173.0,231.0,177.0,109.0,317.0,185.0
37001021204,1062.0,15.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,1047.0,115.0,98.0,134.0,163.0,100.0,242.0,195.0
37001021205,2420.0,195.0,0.0,18.0,104.0,17.0,56.0,0.0,0.0,2225.0,328.0,257.0,432.0,376.0,357.0,309.0,166.0
37001021206,1663.0,62.0,0.0,0.0,24.0,0.0,38.0,0.0,0.0,1601.0,466.0,73.0,170.0,170.0,267.0,207.0,248.0
37001021207,625.0,36.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,589.0,67.0,0.0,72.0,188.0,126.0,42.0,94.0
37001021300,1451.0,50.0,0.0,7.0,29.0,3.0,5.0,6.0,0.0,1401.0,179.0,265.0,116.0,153.0,174.0,158.0,356.0
37001021400,403.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,395.0,32.0,35.0,4.0,60.0,147.0,59.0,58.0
37001021500,997.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,989.0,127.0,58.0,226.0,29.0,159.0,154.0,236.0
37001021600,2546.0,111.0,25.0,15.0,55.0,14.0,2.0,0.0,0.0,2435.0,857.0,692.0,94.0,244.0,231.0,216.0,101.0
37001021701,498.0,23.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,475.0,68.0,46.0,47.0,0.0,110.0,51.0,153.0
37001021702,2377.0,73.0,5.0,42.0,0.0,0.0,0.0,26.0,0.0,2304.0,689.0,1011.0,80.0,31.0,237.0,66.0,190.0
37001021703,1903.0,102.0,0.0,0.0,32.0,42.0,14.0,0.0,14.0,1801.0,111.0,312.0,221.0,253.0,365.0,181.0,358.0
37001021801,984.0,20.0,0.0,0.0,4.0,3.0,13.0,0.0,0.0,964.0,239.0,53.0,71.0,89.0,206.0,105.0,201.0
37001021802,1044.0,95.0,0.0,61.0,11.0,23.0,0.0,0.0,0.0,949.0,109.0,110.0,114.0,200.0,77.0,33.0,306.0
37001021803,630.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,586.0,106.0,61.0,36.0,88.0,65.0,128.0,102.0
37001021901,962.0,100.0,0.0,0.0,18.0,82.0,0.0,0.0,0.0,862.0,222.0,87.0,96.0,15.0,116.0,153.0,173.0
37001021902,829.0,87.0,0.0,0.0,21.0,54.0,12.0,0.0,0.0,742.0,155.0,48.0,72.0,167.0,108.0,27.0,165.0
37001022001,806.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,783.0,168.0,74.0,111.0,88.0,105.0,89.0,148.0
37001022002,992.0,23.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,969.0,270.0,35.0,121.0,122.0,143.0,106.0,172.0
37003040100,716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,122.0,43.0,172.0,46.0,176.0,72.0,85.0
37003040200,766.0,19.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,747.0,170.0,99.0,60.0,72.0,68.0,76.0,202.0
37003040300,570.0,55.0,0.0,0.0,9.0,8.0,0.0,0.0,38.0,515.0,83.0,81.0,109.0,57.0,30.0,34.0,121.0
37003040400,1273.0,67.0,0.0,56.0,11.0,0.0,0.0,0.0,0.0,1206.0,143.0,214.0,132.0,164.0,166.0,238.0,149.0
37003040500,1486.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1477.0,144.0,44.0,125.0,455.0,141.0,79.0,489.0
37003040600,1343.0,82.0,0.0,46.0,36.0,0.0,0.0,0.0,0.0,1261.0,149.0,213.0,74.0,123.0,224.0,176.0,302.0
37003040700,1440.0,50.0,0.0,26.0,0.0,0.0,24.0,0.0,0.0,1390.0,283.0,148.0,187.0,74.0,259.0,265.0,174.0
37005950100,762.0,52.0,0.0,13.0,17.0,0.0,22.0,0.0,0.0,710.0,64.0,64.0,33.0,194.0,89.0,143.0,123.0
37005950200,773.0,34.0,7.0,16.0,11.0,0.0,0.0,0.0,0.0,739.0,165.0,56.0,84.0,71.0,85.0,88.0,190.0
37005950300,407.0,41.0,0.0,0.0,27.0,14.0,0.0,0.0,0.0,366.0,54.0,129.0,40.0,34.0,31.0,47.0,31.0
37007920100,498.0,100.0,21.0,39.0,22.0,11.0,0.0,0.0,7.0,398.0,36.0,64.0,52.0,52.0,105.0,57.0,32.0
37007920200,358.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,350.0,9.0,36.0,49.0,57.0,106.0,27.0,66.0
37007920301,829.0,30.0,0.0,0.0,2.0,0.0,17.0,0.0,11.0,799.0,179.0,118.0,136.0,50.0,85.0,86.0,145.0
37007920302,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,25.0,12.0,27.0,46.0,0.0,12.0
37007920400,768.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,733.0,52.0,256.0,65.0,238.0,18.0,68.0,36.0
37007920501,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,26.0,38.0,138.0,0.0,0.0
37007920502,982.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,968.0,127.0,74.0,192.0,35.0,96.0,101.0,343.0
37007920600,634.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,630.0,139.0,64.0,47.0,30.0,153.0,51.0,146.0
37007980000,251.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,244.0,0.0,27.0,33.0,58.0,50.0,31.0,45.0
37009970200,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,27.0,68.0,51.0,70.0,88.0,80.0,86.0
37009970300,407.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,398.0,21.0,86.0,99.0,64.0,44.0,36.0,48.0
37009970400,1066.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,1005.0,337.0,38.0,90.0,112.0,172.0,133.0,123.0
37009970501,493.0,32.0,0.0,3.0,15.0,0.0,0.0,0.0,14.0,461.0,31.0,53.0,53.0,159.0,66.0,40.0,59.0
37009970502,495.0,27.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,468.0,18.0,50.0,50.0,26.0,105.0,144.0,75.0
37009970701,735.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,720.0,47.0,35.0,52.0,124.0,52.0,202.0,208.0
37009970702,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,92.0,32.0,12.0,0.0,27.0,36.0,183.0
