GEOID,B08101_001E,B08101_002E,B08101_003E,B08101_004E,B08101_005E,B08101_006E,B08101_007E,B08101_008E,B08101_009E,B08101_010E,B08101_011E,B08101_012E,B08101_013E,B08101_014E,B08101_015E,B08101_016E,B08101_017E,B08101_018E,B08101_019E,B08101_020E,B08101_021E,B08101_022E,B08101_023E,B08101_024E,B08101_025E,B08101_026E,B08101_027E,B08101_028E,B08101_029E,B08101_030E,B08101_031E,B08101_032E,B08101_033E,B08101_034E,B08101_035E,B08101_036E,B08101_037E,B08101_038E,B08101_039E,B08101_040E,B08101_041E,B08101_042E,B08101_043E,B08101_044E,B08101_045E,B08101_046E,B08101_047E,B08101_048E,B08101_049E,B08101_050E,B08101_051E,B08101_052E,B08101_053E,B08101_054E,B08101_055E,B08101_056E
37001020100,1929.0,44.0,106.0,784.0,368.0,333.0,201.0,93.0,1420.0,14.0,73.0,624.0,302.0,239.0,94.0,74.0,278.0,30.0,33.0,77.0,54.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,83.0,12.0,27.0,90.0,19.0
37001020200,1623.0,124.0,125.0,787.0,235.0,191.0,53.0,108.0,1208.0,46.0,70.0,582.0,178.0,191.0,33.0,108.0,347.0,78.0,19.0,205.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,36.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
37001020301,1517.0,0.0,70.0,677.0,179.0,199.0,279.0,113.0,1281.0,0.0,70.0,573.0,179.0,199.0,232.0,28.0,171.0,0.0,0.0,104.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,47.0,18.0
37001020302,1402.0,110.0,87.0,611.0,214.0,276.0,31.0,73.0,1267.0,62.0,87.0,559.0,179.0,276.0,31.0,73.0,135.0,48.0,0.0,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37001020400,2572.0,121.0,336.0,1004.0,758.0,259.0,51.0,43.0,2230.0,51.0,313.0,862.0,730.0,211.0,51.0,12.0,194.0,70.0,23.0,33.0,20.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,96.0,8.0,0.0,0.0,31.0
37001020501,1835.0,168.0,170.0,681.0,395.0,181.0,184.0,56.0,1534.0,140.0,116.0,596.0,323.0,168.0,140.0,51.0,237.0,28.0,54.0,65.0,72.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,36.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0
37001020502,1930.0,56.0,324.0,951.0,399.0,118.0,63.0,19.0,1577.0,56.0,232.0,749.0,340.0,118.0,63.0,19.0,307.0,0.0,92.0,187.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,13.0,31.0,0.0,0.0,0.0
37001020601,1613.0,18.0,101.0,551.0,352.0,191.0,224.0,176.0,1424.0,18.0,101.0,448.0,343.0,158.0,194.0,162.0,13.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,83.0,4.0,33.0,30.0,14.0
37001020602,1100.0,93.0,9.0,405.0,164.0,116.0,90.0,223.0,1035.0,93.0,0.0,372.0,164.0,116.0,90.0,200.0,34.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0
37001020701,2925.0,91.0,311.0,1158.0,627.0,246.0,269.0,223.0,2427.0,0.0,209.0,1026.0,553.0,188.0,254.0,197.0,279.0,91.0,88.0,40.0,34.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,92.0,40.0,58.0,0.0,0.0
