ID,NAME,URBAN
2,Alamance,2
70,Alexander,1
117,Alleghany,0
123,Anson,1
161,Ashe,0
170,Avery,0
171,Beaufort,0
175,Bertie,0
286,Bladen,0
297,Brunswick,1
298,Buncombe,2
337,Burke,2
360,Cabarrus,1
471,Caldwell,2
472,Camden,1
544,Carteret,0
548,Caswell,0
550,Catawba,2
570,Chatham,1
661,Cherokee,0
674,Chowan,0
678,Clay,0
687,Cleveland,0
794,Columbus,0
809,Craven,2
839,Cumberland,2
852,Currituck,1
862,Dare,0
925,Davidson,1
952,Davie,1
968,Duplin,0
1001,Durham,2
1080,Edgecombe,2
1088,Forsyth,2
1182,Franklin,1
1186,Gaston,1
1216,Gates,1
1281,Graham,0
1311,Granville,1
1372,Greene,0
1382,Guilford,2
1426,Halifax,0
1454,Harnett,0
1493,Haywood,1
1539,Henderson,1
1549,Hertford,0
1558,Hoke,1
1565,Hyde,0
1595,Iredell,1
1624,Jackson,0
1668,Johnston,1
1670,Jones,1
1671,Lee,0
1693,Lenoir,0
1695,Lincoln,1
1707,Macon,0
1709,Madison,1
1785,Martin,0
1805,McDowell,0
1806,Mecklenburg,2
1808,Mitchell,0
1823,Montgomery,0
1853,Moore,0
1864,Nash,2
1901,New Hanover,2
1909,Northampton,0
1915,Onslow,2
1951,Orange,2
1983,Pamlico,1
2017,Pasquotank,0
2084,Pender,1
2087,Perquimans,0
2184,Person,1
2212,Pitt,2
2244,Polk,0
2267,Randolph,1
2317,Richmond,0
2324,Robeson,0
2357,Rockingham,1
2377,Rowan,1
2405,Rutherford,0
2439,Sampson,0
2447,Scotland,0
2454,Stanly,0
2459,Stokes,1
2547,Surry,0
2560,Swain,0
2586,Transylvania,0
2606,Tyrrell,0
2613,Union,1
2631,Vance,0
2690,Wake,2
2715,Warren,0
2729,Washington,0
2828,Watauga,0
2860,Wayne,2
2976,Wilkes,0
3081,Wilson,0
3126,Yadkin,1
3143,Yancey,0
